Array Design Name	DIASMGB-Wheat-WheatUG-9K-v2
Version	version 2
Provider	Per Gregersen (per.gregersen@agrsci.dk)
Comment[ArrayExpressAccession]	A-MEXP-556
Comment[SubmittedName]	DIASMGB-Wheat-WheatUG-9K-v2
Comment[Organism]	Triticum aestivum
Printing Protocol	A 9K wheat unigene set was kindly made available by Keith Edwards, Bristol University (www.cerealsdb.uk.net). This set of clones originates in 35 cDNA libraries prepared from a range of different tissues of the wheat plant but predominantly from tissues of the developing grain. Plasmid DNA mini-preparations were made from all clones using Millipore 96-well plates (MANNLY50, MAFBNOB50, Millipore) according to the manufacturer?s recommendations. The cDNA inserts were PCR amplified from 0.5-1 ?l DNA mini-preparation using the T3 and T7 flanking primers (30pmol) of the pBluescript cloning vector and Taq polymerase (0.8 U) (EP0402, Fermentas, LT) in 100?l reaction buffer (10 mM Tris, pH 8.8; 50 mM KCl; 0.08% Nonidet P40; 0.5 mM MgCl2; 0.3 mM (each) dNTP). The PCR reactions were performed in a MJResearch Cycler (MJResearch) and the cycling conditions were 5 min at 96?C, followed by 45 cycles of 30 sec at 96?C, 2 min at 58?C, 2 min at 72?C, and a final extension of 10 min at 72?C. PCR products were precipitated with 2.5 vol 96% ethanol and 1/10 vol 3 M NaAcetate, pH 6.0, left at least 2 h at ?20?C, and centrifuged 1 h, 4?C, 2600 rcf. The air-dried pellet was dissolved in 20 ?l of water. One ?l of each sample was run in a 1% agarose gel containing SYBR Green. The quality of the PCR products were visually inspected and abnormal or missing products were recorded. Five ?l (100-500 ?g) of each sample was vacuum-dried and re-dissolved in 5 ?l of 1 x QMT spotting buffer (S201100, Quantifoil, D). The samples were spotted onto QMT amino slides (S122025, Quantifoil, D) using a Chipwriter microarrayspotter (Eurogentec, B) with 24 Stealth MP3 pins (Telechem Int., US). Following spotting, the slides were UV cross-linked  at 250 mJ ( Stratalinker, Stratagene) and kept dry and in the dark at room temperature until hybridisation.
Technology Type	spotted_ds_DNA_features
Technology Type Term Accession Number	#spotted_ds_DNA_features
Technology Type Term Source REF	The MGED Ontology
Surface Type	aminosilane
Surface Type Term Accession Number	#aminosilane
Surface Type Term Source REF	mo
Substrate Type	glass
Substrate Type Term Accession Number	#glass
Substrate Type Term Source REF	mo
Term Source Name	The MGED Ontology	mo	embl	tigr_tagi
Term Source File	http://mged.sourceforge.net/ontologies/MGEDontology.php	http://mged.sourceforge.net/ontologies/MGEDontology.php	http://www.ebi.ac.uk/embl/	http://www.tigr.org/tigr-scripts/tgi/T_index.cgi?species=wheat
Term Source Version			
Comment[AdditionalFile:txt]	A-MEXP-556_comments.txt

[main]
Block Column	Block Row	Column	Row	Reporter Name	Reporter Database Entry[embl]	Reporter Database Entry[tigr_tagi]	Reporter Group[role]	Control Type
10	1	1	7	empty			Control	control_empty
11	1	1	7	empty			Control	control_empty
12	1	1	7	empty			Control	control_empty
1	1	1	8	empty			Control	control_empty
2	1	1	8	empty			Control	control_empty
3	1	1	8	empty			Control	control_empty
4	1	1	8	empty			Control	control_empty
5	1	1	8	empty			Control	control_empty
6	1	1	8	empty			Control	control_empty
7	1	1	8	empty			Control	control_empty
8	1	1	8	empty			Control	control_empty
9	1	1	8	empty			Control	control_empty
10	1	1	8	empty			Control	control_empty
11	1	1	8	empty			Control	control_empty
12	1	1	8	empty			Control	control_empty
1	1	1	9	empty			Control	control_empty
2	1	1	9	empty			Control	control_empty
3	1	1	9	empty			Control	control_empty
4	1	1	9	empty			Control	control_empty
5	1	1	9	empty			Control	control_empty
6	1	1	9	empty			Control	control_empty
7	1	1	9	empty			Control	control_empty
8	1	1	9	empty			Control	control_empty
9	1	1	9	empty			Control	control_empty
10	1	1	9	empty			Control	control_empty
11	1	1	9	empty			Control	control_empty
12	1	1	9	empty			Control	control_empty
1	1	1	10	empty			Control	control_empty
2	1	1	10	empty			Control	control_empty
3	1	1	10	empty			Control	control_empty
4	1	1	10	empty			Control	control_empty
5	1	1	10	empty			Control	control_empty
6	1	1	10	empty			Control	control_empty
7	1	1	10	empty			Control	control_empty
8	1	1	10	empty			Control	control_empty
9	1	1	10	empty			Control	control_empty
10	1	1	10	empty			Control	control_empty
11	1	1	10	empty			Control	control_empty
12	1	1	10	empty			Control	control_empty
1	1	1	11	empty			Control	control_empty
2	1	1	11	empty			Control	control_empty
3	1	1	11	empty			Control	control_empty
4	1	1	11	empty			Control	control_empty
5	1	1	11	empty			Control	control_empty
6	1	1	11	empty			Control	control_empty
7	1	1	11	empty			Control	control_empty
8	1	1	11	empty			Control	control_empty
9	1	1	11	empty			Control	control_empty
10	1	1	11	empty			Control	control_empty
11	1	1	11	empty			Control	control_empty
12	1	1	11	empty			Control	control_empty
1	1	1	12	empty			Control	control_empty
2	1	1	12	empty			Control	control_empty
3	1	1	12	empty			Control	control_empty
4	1	1	12	empty			Control	control_empty
5	1	1	12	empty			Control	control_empty
6	1	1	12	empty			Control	control_empty
7	1	1	12	empty			Control	control_empty
8	1	1	12	empty			Control	control_empty
9	1	1	12	empty			Control	control_empty
10	1	1	12	empty			Control	control_empty
11	1	1	12	empty			Control	control_empty
12	1	1	12	empty			Control	control_empty
1	1	1	13	empty			Control	control_empty
2	1	1	13	empty			Control	control_empty
3	1	1	13	empty			Control	control_empty
4	1	1	13	empty			Control	control_empty
5	1	1	13	empty			Control	control_empty
6	1	1	13	empty			Control	control_empty
7	1	1	13	empty			Control	control_empty
8	1	1	13	empty			Control	control_empty
9	1	1	13	empty			Control	control_empty
10	1	1	13	empty			Control	control_empty
11	1	1	13	empty			Control	control_empty
12	1	1	13	empty			Control	control_empty
3	1	1	14	empty			Control	control_empty
4	1	1	14	empty			Control	control_empty
5	1	1	14	empty			Control	control_empty
6	1	1	14	empty			Control	control_empty
7	1	1	14	empty			Control	control_empty
8	1	1	14	empty			Control	control_empty
9	1	1	14	empty			Control	control_empty
10	1	1	14	empty			Control	control_empty
11	1	1	14	empty			Control	control_empty
12	1	1	14	empty			Control	control_empty
3	1	1	15	empty			Control	control_empty
4	1	1	15	empty			Control	control_empty
5	1	1	15	empty			Control	control_empty
6	1	1	15	empty			Control	control_empty
7	1	1	15	empty			Control	control_empty
8	1	1	15	empty			Control	control_empty
9	1	1	15	empty			Control	control_empty
10	1	1	15	empty			Control	control_empty
11	1	1	15	empty			Control	control_empty
12	1	1	15	empty			Control	control_empty
1	2	1	6	empty			Control	control_empty
2	2	1	6	empty			Control	control_empty
3	2	1	6	empty			Control	control_empty
4	2	1	6	empty			Control	control_empty
5	2	1	6	empty			Control	control_empty
6	2	1	6	empty			Control	control_empty
7	2	1	6	empty			Control	control_empty
8	2	1	6	empty			Control	control_empty
9	2	1	6	empty			Control	control_empty
10	2	1	6	empty			Control	control_empty
11	2	1	6	empty			Control	control_empty
12	2	1	6	empty			Control	control_empty
1	2	1	7	empty			Control	control_empty
2	2	1	7	empty			Control	control_empty
3	2	1	7	empty			Control	control_empty
4	2	1	7	empty			Control	control_empty
5	2	1	7	empty			Control	control_empty
6	2	1	7	empty			Control	control_empty
7	2	1	7	empty			Control	control_empty
8	2	1	7	empty			Control	control_empty
9	2	1	7	empty			Control	control_empty
10	2	1	7	empty			Control	control_empty
11	2	1	7	empty			Control	control_empty
12	2	1	7	empty			Control	control_empty
1	2	1	8	empty			Control	control_empty
2	2	1	8	empty			Control	control_empty
3	2	1	8	empty			Control	control_empty
4	2	1	8	empty			Control	control_empty
5	2	1	8	empty			Control	control_empty
6	2	1	8	empty			Control	control_empty
7	2	1	8	empty			Control	control_empty
8	2	1	8	empty			Control	control_empty
9	2	1	8	empty			Control	control_empty
10	2	1	8	empty			Control	control_empty
11	2	1	8	empty			Control	control_empty
12	2	1	8	empty			Control	control_empty
1	2	1	9	empty			Control	control_empty
2	2	1	9	empty			Control	control_empty
3	2	1	9	empty			Control	control_empty
4	2	1	9	empty			Control	control_empty
5	2	1	9	empty			Control	control_empty
6	2	1	9	empty			Control	control_empty
7	2	1	9	empty			Control	control_empty
8	2	1	9	empty			Control	control_empty
9	2	1	9	empty			Control	control_empty
10	2	1	9	empty			Control	control_empty
11	2	1	9	empty			Control	control_empty
12	2	1	9	empty			Control	control_empty
1	2	1	10	empty			Control	control_empty
2	2	1	10	empty			Control	control_empty
3	2	1	10	empty			Control	control_empty
4	2	1	10	empty			Control	control_empty
5	2	1	10	empty			Control	control_empty
6	2	1	10	empty			Control	control_empty
7	2	1	10	empty			Control	control_empty
8	2	1	10	empty			Control	control_empty
9	2	1	10	empty			Control	control_empty
10	2	1	10	empty			Control	control_empty
11	2	1	10	empty			Control	control_empty
12	2	1	10	empty			Control	control_empty
1	2	1	11	empty			Control	control_empty
2	2	1	11	empty			Control	control_empty
3	2	1	11	empty			Control	control_empty
4	2	1	11	empty			Control	control_empty
5	2	1	11	empty			Control	control_empty
6	2	1	11	empty			Control	control_empty
7	2	1	11	empty			Control	control_empty
8	2	1	11	empty			Control	control_empty
9	2	1	11	empty			Control	control_empty
10	2	1	11	empty			Control	control_empty
11	2	1	11	empty			Control	control_empty
12	2	1	11	empty			Control	control_empty
1	2	1	12	empty			Control	control_empty
2	2	1	12	empty			Control	control_empty
3	2	1	12	empty			Control	control_empty
4	2	1	12	empty			Control	control_empty
5	2	1	12	empty			Control	control_empty
6	2	1	12	empty			Control	control_empty
7	2	1	12	empty			Control	control_empty
8	2	1	12	empty			Control	control_empty
9	2	1	12	empty			Control	control_empty
10	2	1	12	empty			Control	control_empty
11	2	1	12	empty			Control	control_empty
12	2	1	12	empty			Control	control_empty
1	2	1	13	empty			Control	control_empty
2	2	1	13	empty			Control	control_empty
3	2	1	13	empty			Control	control_empty
4	2	1	13	empty			Control	control_empty
5	2	1	13	empty			Control	control_empty
6	2	1	13	empty			Control	control_empty
7	2	1	13	empty			Control	control_empty
8	2	1	13	empty			Control	control_empty
9	2	1	13	empty			Control	control_empty
10	2	1	13	empty			Control	control_empty
11	2	1	13	empty			Control	control_empty
12	2	1	13	empty			Control	control_empty
3	2	1	14	empty			Control	control_empty
4	2	1	14	empty			Control	control_empty
5	2	1	14	empty			Control	control_empty
6	2	1	14	empty			Control	control_empty
7	2	1	14	empty			Control	control_empty
8	2	1	14	empty			Control	control_empty
9	2	1	14	empty			Control	control_empty
10	2	1	14	empty			Control	control_empty
11	2	1	14	empty			Control	control_empty
12	2	1	14	empty			Control	control_empty
3	2	1	15	empty			Control	control_empty
4	2	1	15	empty			Control	control_empty
5	2	1	15	empty			Control	control_empty
6	2	1	15	empty			Control	control_empty
7	2	1	15	empty			Control	control_empty
8	2	1	15	empty			Control	control_empty
9	2	1	15	empty			Control	control_empty
10	2	1	15	empty			Control	control_empty
11	2	1	15	empty			Control	control_empty
12	2	1	15	empty			Control	control_empty
1	3	1	6	empty			Control	control_empty
2	3	1	6	empty			Control	control_empty
3	3	1	6	empty			Control	control_empty
4	3	1	6	empty			Control	control_empty
5	3	1	6	empty			Control	control_empty
6	3	1	6	empty			Control	control_empty
7	3	1	6	empty			Control	control_empty
8	3	1	6	empty			Control	control_empty
9	3	1	6	empty			Control	control_empty
10	3	1	6	empty			Control	control_empty
11	3	1	6	empty			Control	control_empty
12	3	1	6	empty			Control	control_empty
1	3	1	7	empty			Control	control_empty
2	3	1	7	empty			Control	control_empty
3	3	1	7	empty			Control	control_empty
4	3	1	7	empty			Control	control_empty
5	3	1	7	empty			Control	control_empty
6	3	1	7	empty			Control	control_empty
7	3	1	7	empty			Control	control_empty
8	3	1	7	empty			Control	control_empty
9	3	1	7	empty			Control	control_empty
10	3	1	7	empty			Control	control_empty
11	3	1	7	empty			Control	control_empty
12	3	1	7	empty			Control	control_empty
1	3	1	8	empty			Control	control_empty
2	3	1	8	empty			Control	control_empty
3	3	1	8	empty			Control	control_empty
4	3	1	8	empty			Control	control_empty
5	3	1	8	empty			Control	control_empty
6	3	1	8	empty			Control	control_empty
7	3	1	8	empty			Control	control_empty
8	3	1	8	empty			Control	control_empty
9	3	1	8	empty			Control	control_empty
10	3	1	8	empty			Control	control_empty
11	3	1	8	empty			Control	control_empty
12	3	1	8	empty			Control	control_empty
1	3	1	9	empty			Control	control_empty
2	3	1	9	empty			Control	control_empty
3	3	1	9	empty			Control	control_empty
4	3	1	9	empty			Control	control_empty
5	3	1	9	empty			Control	control_empty
6	3	1	9	empty			Control	control_empty
7	3	1	9	empty			Control	control_empty
8	3	1	9	empty			Control	control_empty
9	3	1	9	empty			Control	control_empty
10	3	1	9	empty			Control	control_empty
11	3	1	9	empty			Control	control_empty
12	3	1	9	empty			Control	control_empty
1	3	1	10	empty			Control	control_empty
2	3	1	10	empty			Control	control_empty
3	3	1	10	empty			Control	control_empty
4	3	1	10	empty			Control	control_empty
5	3	1	10	empty			Control	control_empty
6	3	1	10	empty			Control	control_empty
7	3	1	10	empty			Control	control_empty
8	3	1	10	empty			Control	control_empty
9	3	1	10	empty			Control	control_empty
10	3	1	10	empty			Control	control_empty
11	3	1	10	empty			Control	control_empty
12	3	1	10	empty			Control	control_empty
1	3	1	11	empty			Control	control_empty
2	3	1	11	empty			Control	control_empty
3	3	1	11	empty			Control	control_empty
4	3	1	11	empty			Control	control_empty
5	3	1	11	empty			Control	control_empty
6	3	1	11	empty			Control	control_empty
7	3	1	11	empty			Control	control_empty
8	3	1	11	empty			Control	control_empty
9	3	1	11	empty			Control	control_empty
10	3	1	11	empty			Control	control_empty
11	3	1	11	empty			Control	control_empty
12	3	1	11	empty			Control	control_empty
1	3	1	12	empty			Control	control_empty
2	3	1	12	empty			Control	control_empty
3	3	1	12	empty			Control	control_empty
4	3	1	12	empty			Control	control_empty
5	3	1	12	empty			Control	control_empty
6	3	1	12	empty			Control	control_empty
7	3	1	12	empty			Control	control_empty
8	3	1	12	empty			Control	control_empty
9	3	1	12	empty			Control	control_empty
10	3	1	12	empty			Control	control_empty
11	3	1	12	empty			Control	control_empty
12	3	1	12	empty			Control	control_empty
1	3	1	13	empty			Control	control_empty
2	3	1	13	empty			Control	control_empty
3	3	1	13	empty			Control	control_empty
4	3	1	13	empty			Control	control_empty
5	3	1	13	empty			Control	control_empty
6	3	1	13	empty			Control	control_empty
7	3	1	13	empty			Control	control_empty
8	3	1	13	empty			Control	control_empty
9	3	1	13	empty			Control	control_empty
10	3	1	13	empty			Control	control_empty
11	3	1	13	empty			Control	control_empty
12	3	1	13	empty			Control	control_empty
3	3	1	14	empty			Control	control_empty
4	3	1	14	empty			Control	control_empty
5	3	1	14	empty			Control	control_empty
6	3	1	14	empty			Control	control_empty
7	3	1	14	empty			Control	control_empty
8	3	1	14	empty			Control	control_empty
9	3	1	14	empty			Control	control_empty
10	3	1	14	empty			Control	control_empty
11	3	1	14	empty			Control	control_empty
12	3	1	14	empty			Control	control_empty
3	3	1	15	empty			Control	control_empty
4	3	1	15	empty			Control	control_empty
5	3	1	15	empty			Control	control_empty
6	3	1	15	empty			Control	control_empty
7	3	1	15	empty			Control	control_empty
8	3	1	15	empty			Control	control_empty
9	3	1	15	empty			Control	control_empty
10	3	1	15	empty			Control	control_empty
11	3	1	15	empty			Control	control_empty
12	3	1	15	empty			Control	control_empty
1	4	1	6	empty			Control	control_empty
2	4	1	6	empty			Control	control_empty
3	4	1	6	empty			Control	control_empty
4	4	1	6	empty			Control	control_empty
5	4	1	6	empty			Control	control_empty
6	4	1	6	empty			Control	control_empty
7	4	1	6	empty			Control	control_empty
8	4	1	6	empty			Control	control_empty
9	4	1	6	empty			Control	control_empty
10	4	1	6	empty			Control	control_empty
11	4	1	6	empty			Control	control_empty
12	4	1	6	empty			Control	control_empty
1	4	1	7	empty			Control	control_empty
2	4	1	7	empty			Control	control_empty
3	4	1	7	empty			Control	control_empty
4	4	1	7	empty			Control	control_empty
5	4	1	7	empty			Control	control_empty
6	4	1	7	empty			Control	control_empty
7	4	1	7	empty			Control	control_empty
8	4	1	7	empty			Control	control_empty
9	4	1	7	empty			Control	control_empty
10	4	1	7	empty			Control	control_empty
11	4	1	7	empty			Control	control_empty
12	4	1	7	empty			Control	control_empty
1	4	1	8	empty			Control	control_empty
2	4	1	8	empty			Control	control_empty
3	4	1	8	empty			Control	control_empty
4	4	1	8	empty			Control	control_empty
5	4	1	8	empty			Control	control_empty
6	4	1	8	empty			Control	control_empty
7	4	1	8	empty			Control	control_empty
8	4	1	8	empty			Control	control_empty
9	4	1	8	empty			Control	control_empty
10	4	1	8	empty			Control	control_empty
11	4	1	8	empty			Control	control_empty
12	4	1	8	empty			Control	control_empty
1	4	1	9	empty			Control	control_empty
2	4	1	9	empty			Control	control_empty
3	4	1	9	empty			Control	control_empty
4	4	1	9	empty			Control	control_empty
5	4	1	9	empty			Control	control_empty
6	4	1	9	empty			Control	control_empty
7	4	1	9	empty			Control	control_empty
8	4	1	9	empty			Control	control_empty
9	4	1	9	empty			Control	control_empty
10	4	1	9	empty			Control	control_empty
11	4	1	9	empty			Control	control_empty
12	4	1	9	empty			Control	control_empty
1	4	1	10	empty			Control	control_empty
2	4	1	10	empty			Control	control_empty
3	4	1	10	empty			Control	control_empty
4	4	1	10	empty			Control	control_empty
5	4	1	10	empty			Control	control_empty
6	4	1	10	empty			Control	control_empty
7	4	1	10	empty			Control	control_empty
8	4	1	10	empty			Control	control_empty
9	4	1	10	empty			Control	control_empty
10	4	1	10	empty			Control	control_empty
11	4	1	10	empty			Control	control_empty
12	4	1	10	empty			Control	control_empty
1	4	1	11	empty			Control	control_empty
2	4	1	11	empty			Control	control_empty
3	4	1	11	empty			Control	control_empty
4	4	1	11	empty			Control	control_empty
5	4	1	11	empty			Control	control_empty
6	4	1	11	empty			Control	control_empty
7	4	1	11	empty			Control	control_empty
8	4	1	11	empty			Control	control_empty
9	4	1	11	empty			Control	control_empty
10	4	1	11	empty			Control	control_empty
11	4	1	11	empty			Control	control_empty
12	4	1	11	empty			Control	control_empty
1	4	1	12	empty			Control	control_empty
2	4	1	12	empty			Control	control_empty
3	4	1	12	empty			Control	control_empty
4	4	1	12	empty			Control	control_empty
5	4	1	12	empty			Control	control_empty
6	4	1	12	empty			Control	control_empty
7	4	1	12	empty			Control	control_empty
8	4	1	12	empty			Control	control_empty
9	4	1	12	empty			Control	control_empty
10	4	1	12	empty			Control	control_empty
11	4	1	12	empty			Control	control_empty
12	4	1	12	empty			Control	control_empty
1	4	1	13	empty			Control	control_empty
2	4	1	13	empty			Control	control_empty
3	4	1	13	empty			Control	control_empty
4	4	1	13	empty			Control	control_empty
5	4	1	13	empty			Control	control_empty
6	4	1	13	empty			Control	control_empty
7	4	1	13	empty			Control	control_empty
8	4	1	13	empty			Control	control_empty
9	4	1	13	empty			Control	control_empty
10	4	1	13	empty			Control	control_empty
11	4	1	13	empty			Control	control_empty
12	4	1	13	empty			Control	control_empty
3	4	1	14	empty			Control	control_empty
4	4	1	14	empty			Control	control_empty
5	4	1	14	empty			Control	control_empty
6	4	1	14	empty			Control	control_empty
7	4	1	14	empty			Control	control_empty
8	4	1	14	empty			Control	control_empty
9	4	1	14	empty			Control	control_empty
10	4	1	14	empty			Control	control_empty
11	4	1	14	empty			Control	control_empty
12	4	1	14	empty			Control	control_empty
3	4	1	15	empty			Control	control_empty
4	4	1	15	empty			Control	control_empty
5	4	1	15	empty			Control	control_empty
6	4	1	15	empty			Control	control_empty
7	4	1	15	empty			Control	control_empty
8	4	1	15	empty			Control	control_empty
9	4	1	15	empty			Control	control_empty
10	4	1	15	empty			Control	control_empty
11	4	1	15	empty			Control	control_empty
12	4	1	15	empty			Control	control_empty
5	1	7	6	WheatUG-1_Control_I24			Control	control_buffer
6	1	7	6	WheatUG-1_Control_I23			Control	control_buffer
7	1	7	6	WheatUG-1_Control_I22			Control	control_buffer
8	1	7	6	WheatUG-1_Control_I21			Control	control_buffer
10	1	10	6	WheatUG-1_GS0009_C10			Control	control_buffer
11	1	13	6	WheatUG-1_GS0003_A11			Control	control_buffer
12	1	12	6	WheatUG-1_GS0005_G5			Control	control_buffer
2	1	13	7	WheatUG-1_GS0065_C8			Control	control_buffer
5	1	7	7	WheatUG-1_Control_M24			Control	control_buffer
6	1	7	7	WheatUG-1_Control_M23			Control	control_buffer
7	1	7	7	WheatUG-1_Control_M22			Control	control_buffer
8	1	7	7	WheatUG-1_Control_M21			Control	control_buffer
9	1	13	7	WheatUG-1_GS0003_C12			Control	control_buffer
12	1	10	7	WheatUG-1_GS0009_E9			Control	control_buffer
10	1	12	8	WheatUG-1_GS0005_C8			Control	control_buffer
11	1	10	8	WheatUG-1_GS0011_G9			Control	control_buffer
11	1	11	8	WheatUG-1_GS0011_A3			Control	control_buffer
4	1	14	9	WheatUG-1_GS0065_A1			Control	control_buffer
7	1	2	9	WheatUG-1_GS0063_A3			Control	control_buffer
12	1	12	9	WheatUG-1_GS0005_E7			Control	control_buffer
4	1	14	10	WheatUG-1_GS0065_C1			Control	control_buffer
5	1	7	10	WheatUG-1_GS0051_E2			Control	control_buffer
12	1	12	10	WheatUG-1_GS0005_G7			Control	control_buffer
11	1	14	11	WheatUG-1_GS0003_E5			Control	control_buffer
12	1	13	11	WheatUG-1_GS0005_C1			Control	control_buffer
4	1	11	12	WheatUG-1_GS0073_A1			Control	control_buffer
9	1	11	12	WheatUG-1_GS0011_A6			Control	control_buffer
10	1	10	12	WheatUG-1_GS0009_G12			Control	control_buffer
10	1	11	12	WheatUG-1_GS0009_A6			Control	control_buffer
11	1	14	12	WheatUG-1_GS0003_G5			Control	control_buffer
4	1	11	13	WheatUG-1_GS0073_C1			Control	control_buffer
4	1	13	13	WheatUG-1_GS0065_G9			Control	control_buffer
5	1	8	13	WheatUG-1_Control_I16			Control	control_buffer
1	1	14	14	WheatUG-1_GS0067_C4			Control	control_buffer
4	1	11	14	WheatUG-1_GS0073_E1			Control	control_buffer
5	1	2	14	WheatUG-1_GS0063_C6			Control	control_buffer
5	1	8	14	WheatUG-1_Control_M16			Control	control_buffer
6	1	9	14	WheatUG-1_Control_A3			Control	control_biosequence
4	1	11	15	WheatUG-1_GS0073_G1			Control	control_buffer
5	1	2	15	WheatUG-1_GS0063_E6			Control	control_buffer
5	1	8	15	WheatUG-1_Control_A20			Control	control_buffer
6	1	8	15	WheatUG-1_Control_A19			Control	control_buffer
7	1	8	15	WheatUG-1_Control_A18			Control	control_buffer
